taxon,cohort,mean_shap,mean_abs_shap,rank_in_cohort,in_top_n,n_cohorts_in_top,model
Romboutsia,zhuang2018,0.001322543950223462,0.10824515704072166,19,True,2,lgbm
Romboutsia,ling2020,-0.020450513093979557,0.6018942109085774,3,True,2,lgbm
Romboutsia,shanghai2022,0.0,0.0,184,False,2,lgbm
Romboutsia,kazakhstan2022,-0.00041544912255010047,0.0021603354372605223,134,False,2,lgbm
Roseburia,zhuang2018,0.0,0.0,238,False,2,lgbm
Roseburia,ling2020,0.0013085052104079267,0.013518866779083464,97,False,2,lgbm
Roseburia,shanghai2022,0.02543363518081699,0.05730641250718492,16,True,2,lgbm
Roseburia,kazakhstan2022,-0.0069346077819027645,0.27393297899089625,2,True,2,lgbm
[Eubacterium] siraeum group,zhuang2018,-0.010339313152115092,0.32148373891755777,5,True,2,lgbm
[Eubacterium] siraeum group,ling2020,0.0001868106101643697,0.0023886974466877115,148,False,2,lgbm
[Eubacterium] siraeum group,shanghai2022,0.027041736810742678,0.12303063558541873,11,True,2,lgbm
[Eubacterium] siraeum group,kazakhstan2022,0.0,0.0,176,False,2,lgbm
