cohort,taxon,n_folds_total,n_positive,n_negative,n_zero,median_coefficient,mean_coefficient,sign_stability
kazakhstan2022,Dialister,10,2,8,0,-0.008674877260580157,-0.0016763383715588248,stable_negative
kazakhstan2022,Diaphorobacter,10,2,8,0,-0.0051570940209371505,-0.0023630168829382693,stable_negative
kazakhstan2022,Dielma,10,7,3,0,0.005496591379287366,0.013232929783015546,unstable
kazakhstan2022,Dinghuibacter,10,10,0,0,0.012884954747110478,0.018325065992428877,stable_positive
kazakhstan2022,Dokdonella,10,2,8,0,-0.006850028539386736,-0.009729247729139946,stable_negative
kazakhstan2022,Dongia,10,10,0,0,0.008815216005135882,0.013190201585732992,stable_positive
kazakhstan2022,Dorea,10,0,10,0,-0.0214542088710662,-0.02418702426000875,stable_negative
kazakhstan2022,Edaphobaculum,10,3,7,0,-0.008921743960456814,-0.00952911175948021,unstable
kazakhstan2022,Eggerthella,10,6,4,0,0.002031416267074963,0.005132741144988691,unstable
kazakhstan2022,Eisenbergiella,10,10,0,0,0.02013503136907277,0.027320243264935352,stable_positive
kazakhstan2022,Ellin6055,10,10,0,0,0.013094466418921993,0.01390306196236143,stable_positive
kazakhstan2022,Ellin6067,10,8,2,0,0.0013885725802181502,0.004359432771190416,stable_positive
kazakhstan2022,Elusimicrobium,10,10,0,0,0.02509677183313877,0.02513471775030861,stable_positive
kazakhstan2022,Enhydrobacter,10,5,5,0,3.748162230549117e-05,0.0024150198107039246,unstable
kazakhstan2022,Enterobacter,10,6,4,0,0.0008965593502721072,0.0011595270147363263,unstable
kazakhstan2022,Enterococcus,10,9,1,0,0.021064652550269836,0.023755125097623158,stable_positive
kazakhstan2022,Enterorhabdus,10,7,3,0,0.002230395141617351,0.0007850444785415667,unstable
kazakhstan2022,Enteroscipio,10,6,4,0,0.0035977874812510805,0.01564080335478007,unstable
kazakhstan2022,Erysipelatoclostridium,10,0,10,0,-0.020437363666596757,-0.024292851784191574,stable_negative
kazakhstan2022,Erysipelotrichaceae UCG-003,10,0,10,0,-0.04928485979862535,-0.06186397971963459,stable_negative
kazakhstan2022,Erysipelotrichaceae UCG-006,10,1,9,0,-0.007421677475477579,-0.009173006253165486,stable_negative
kazakhstan2022,Escherichia-Shigella,10,0,10,0,-0.013256288484682452,-0.01825946834079386,stable_negative
kazakhstan2022,Eubacterium,10,10,0,0,0.021631597080700213,0.030752643200307857,stable_positive
kazakhstan2022,Eubacterium brachy group,10,0,10,0,-0.014638961544775037,-0.014880409120566684,stable_negative
kazakhstan2022,Eubacterium eligens group,10,0,10,0,-0.020256451077436392,-0.022018791511377582,stable_negative
kazakhstan2022,Eubacterium hallii group,10,8,2,0,0.0017270260771342207,0.003187884756100505,stable_positive
kazakhstan2022,Eubacterium oxidoreducens group,10,9,1,0,0.006844950228208394,0.01858410854161581,stable_positive
kazakhstan2022,Eubacterium ventriosum group,10,0,10,0,-0.02385606836227586,-0.0337515177332625,stable_negative
kazakhstan2022,Ezakiella,10,0,10,0,-0.03546473083977596,-0.041963312904580885,stable_negative
kazakhstan2022,Faecalibacterium,10,7,3,0,0.00405861787230119,0.0071120507119386625,unstable
kazakhstan2022,Faecalibaculum,10,0,10,0,-0.0025151822071854376,-0.011089833957929712,stable_negative
kazakhstan2022,Faecalitalea,10,8,2,0,0.004098000543883221,0.0047972827436481074,stable_positive
kazakhstan2022,Family XIII AD3011 group,10,4,6,0,-0.0013255338547752925,-0.0027428698394672104,unstable
kazakhstan2022,Family XIII UCG-001,10,0,10,0,-0.017125635792156993,-0.01504570849651865,stable_negative
kazakhstan2022,Fenollaria,10,4,6,0,-0.0019604026914269578,-0.0047495308945712765,unstable
kazakhstan2022,Ferruginibacter,10,10,0,0,0.00876654762376175,0.009836845291702015,stable_positive
kazakhstan2022,Finegoldia,10,2,8,0,-0.00774267437304259,-0.01685964395928792,stable_negative
kazakhstan2022,Flavisolibacter,10,10,0,0,0.011928180210708239,0.01403909657358245,stable_positive
kazakhstan2022,Flavitalea,10,3,7,0,-0.003674542371970001,-0.0068199385320925916,unstable
kazakhstan2022,Flavobacterium,10,10,0,0,0.019060596116926176,0.021100840149008107,stable_positive
kazakhstan2022,Flavonifractor,10,1,9,0,-0.0008896796291574531,-0.007328616696520446,stable_negative
kazakhstan2022,Fluviicola,10,6,4,0,0.0005899946866685874,0.000783409347202818,unstable
kazakhstan2022,Fournierella,10,0,10,0,-0.032351721108949266,-0.04275745597378559,stable_negative
kazakhstan2022,Frisingicoccus,10,10,0,0,0.020788142139252844,0.025943176137623834,stable_positive
kazakhstan2022,Fusicatenibacter,10,0,10,0,-0.025058307167619136,-0.02814226131826928,stable_negative
kazakhstan2022,Fusobacterium,10,10,0,0,0.035339477674013006,0.04315108738115257,stable_positive
kazakhstan2022,GCA-900066575,10,0,10,0,-0.015820271564112434,-0.019611614352841044,stable_negative
kazakhstan2022,GCA-900066755,10,5,5,0,-0.0010804040782557936,-0.007282868540829794,unstable
kazakhstan2022,Gaiella,10,10,0,0,0.014539650610441188,0.01708948778672467,stable_positive
kazakhstan2022,Gemella,10,7,3,0,0.0019847848406948703,-0.0006308360512159457,unstable
kazakhstan2022,Gemmatimonas,10,0,10,0,-0.01631732718669665,-0.019046464028033016,stable_negative
kazakhstan2022,Gordonibacter,10,8,2,0,0.0018108113355220932,0.00048589889807439026,stable_positive
kazakhstan2022,Granulicatella,10,6,4,0,0.0008965593502721072,0.0011595270147363263,unstable
kazakhstan2022,HT002,10,9,1,0,0.02079627154932678,0.014981944289448376,stable_positive
kazakhstan2022,Haemophilus,10,0,10,0,-0.01985826768857945,-0.02421917557840101,stable_negative
kazakhstan2022,Haliangium,10,0,10,0,-0.017746591979695657,-0.02293866123122961,stable_negative
kazakhstan2022,Halomonas,10,0,10,0,-0.010817290104509714,-0.013426087825472846,stable_negative
kazakhstan2022,Harryflintia,10,7,3,0,0.00592887480367014,0.00821622472738193,unstable
kazakhstan2022,Hassallia,10,9,1,0,0.008559312756345541,0.00898527883744608,stable_positive
kazakhstan2022,Helicobacter,10,0,10,0,-0.026379225470917603,-0.034676432127368,stable_negative
